"time";"H";"Q";"id"
"2013-06-09 16:40:00";0.044;0.00193;2013-06-09 16:40:00
"2013-06-09 16:42:00";0.042;0.00206;2013-06-09 16:40:00
"2013-06-09 16:44:00";0.043;0.00188;2013-06-09 16:40:00
"2013-06-09 16:46:00";0.043;0.00185;2013-06-09 16:40:00
"2013-06-09 16:48:00";0.048;0.01667;2013-06-09 16:40:00
"2013-06-09 16:50:00";0.119;0.09396;2013-06-09 16:40:00
"2013-06-09 16:52:00";0.135;0.12291;2013-06-09 16:40:00
"2013-06-09 16:54:00";0.162;0.16518;2013-06-09 16:40:00
"2013-06-09 16:56:00";0.181;0.20714;2013-06-09 16:40:00
"2013-06-09 16:58:00";0.245;0.36006;2013-06-09 16:40:00
"2013-06-09 17:00:00";0.548;1.53481;2013-06-09 16:40:00
"2013-06-09 17:02:00";0.774;2.45837;2013-06-09 16:40:00
"2013-06-09 17:04:00";0.9;3.12991;2013-06-09 16:40:00
"2013-06-09 17:06:00";1.613;3.67;2013-06-09 16:40:00
"2013-06-09 17:08:00";1.838;3.82795;2013-06-09 16:40:00
"2013-06-09 17:10:00";1.861;3.67427;2013-06-09 16:40:00
"2013-06-09 17:12:00";1.755;2.96417;2013-06-09 16:40:00
"2013-06-09 17:14:00";1.679;3.09936;2013-06-09 16:40:00
"2013-06-09 17:16:00";1.583;3.50777;2013-06-09 16:40:00
"2013-06-09 17:18:00";1.494;3.08371;2013-06-09 16:40:00
"2013-06-09 17:20:00";0.766;1.55242;2013-06-09 16:40:00
"2013-06-09 17:22:00";0.732;1.86925;2013-06-09 16:40:00
"2013-06-09 17:24:00";0.642;2.08912;2013-06-09 16:40:00
"2013-06-09 17:26:00";0.56;1.71442;2013-06-09 16:40:00
"2013-06-09 17:28:00";0.523;1.59653;2013-06-09 16:40:00
"2013-06-09 17:30:00";0.482;1.33218;2013-06-09 16:40:00
"2013-06-09 17:32:00";0.472;1.28995;2013-06-09 16:40:00
"2013-06-09 17:34:00";0.443;1.26422;2013-06-09 16:40:00
"2013-06-09 17:36:00";0.391;1.08061;2013-06-09 16:40:00
"2013-06-09 17:38:00";0.388;1.08112;2013-06-09 16:40:00
"2013-06-09 17:40:00";0.375;0.993;2013-06-09 16:40:00
"2013-06-09 17:42:00";0.38;1.00314;2013-06-09 16:40:00
"2013-06-09 17:44:00";0.349;0.89883;2013-06-09 16:40:00
"2013-06-09 17:46:00";0.352;0.87806;2013-06-09 16:40:00
"2013-06-09 17:48:00";0.349;0.83068;2013-06-09 16:40:00
"2013-06-09 17:50:00";0.341;0.78413;2013-06-09 16:40:00
"2013-06-09 17:52:00";0.335;0.757;2013-06-09 16:40:00
"2013-06-09 17:54:00";0.326;0.69604;2013-06-09 16:40:00
"2013-06-09 17:56:00";0.323;0.7899;2013-06-09 16:40:00
"2013-06-09 17:58:00";0.317;0.75248;2013-06-09 16:40:00
"2013-06-09 18:00:00";0.307;0.65576;2013-06-09 16:40:00
"2013-06-09 18:02:00";0.301;0.67182;2013-06-09 16:40:00
"2013-06-09 18:04:00";0.383;0.87644;2013-06-09 16:40:00
"2013-06-09 18:06:00";0.337;0.71397;2013-06-09 16:40:00
"2013-06-09 18:08:00";0.377;0.86827;2013-06-09 16:40:00
"2013-06-09 18:10:00";0.331;0.7069;2013-06-09 16:40:00
"2013-06-09 18:12:00";0.378;0.84082;2013-06-09 16:40:00
"2013-06-09 18:14:00";0.512;1.40237;2013-06-09 16:40:00
"2013-06-09 18:16:00";0.373;0.84386;2013-06-09 16:40:00
