time;RG1;RG2;RG3
10/13/2014 22:51:00;0;0;0
10/13/2014 22:52:00;0;0;0
10/13/2014 22:53:00;0;0;0
10/13/2014 22:54:00;0;0;0
10/13/2014 22:55:00;0;0;0
10/13/2014 22:56:00;0;0;0
10/13/2014 22:57:00;0;0;0
10/13/2014 22:58:00;0;0;0
10/13/2014 22:59:00;0;0;0
10/13/2014 23:00:00;0;0;0
10/13/2014 23:01:00;0;3;0
10/13/2014 23:02:00;5.94;0;6.12
10/13/2014 23:03:00;0;0;0
10/13/2014 23:04:00;0;0;0
10/13/2014 23:05:00;0;0;0
10/13/2014 23:06:00;0;0;0
10/13/2014 23:07:00;0;0;0
10/13/2014 23:08:00;0;0;0
10/13/2014 23:09:00;0;0;0
10/13/2014 23:10:00;0;0;0
10/13/2014 23:11:00;0;0;0
10/13/2014 23:12:00;0;0;0
10/13/2014 23:13:00;0;0;0
10/13/2014 23:14:00;0;0;0
10/13/2014 23:15:00;0;0;0
10/13/2014 23:16:00;0;0;0
10/13/2014 23:17:00;0;0;0
10/13/2014 23:18:00;0;0;0
10/13/2014 23:19:00;0;0;0
10/13/2014 23:20:00;0;0;0
10/13/2014 23:21:00;0;0;0
10/13/2014 23:22:00;0;0;0
10/13/2014 23:23:00;0;0;0
10/13/2014 23:24:00;0;0;0
10/13/2014 23:25:00;0;0;0
10/13/2014 23:26:00;0;0;0
10/13/2014 23:27:00;0;0;0
10/13/2014 23:28:00;0;0;0
10/13/2014 23:29:00;0;0;0
10/13/2014 23:30:00;0;0;0
10/13/2014 23:31:00;0;3.06;0
10/13/2014 23:32:00;0;0;0
10/13/2014 23:33:00;0;0;0
10/13/2014 23:34:00;5.94;0;0
10/13/2014 23:35:00;0;0;0
10/13/2014 23:36:00;0;3;0
10/13/2014 23:37:00;0;0;6.12
10/13/2014 23:38:00;0;0;0
10/13/2014 23:39:00;0;0;0
10/13/2014 23:40:00;0;3.06;0
10/13/2014 23:41:00;0;0;0
10/13/2014 23:42:00;5.94;0;0
10/13/2014 23:43:00;0;0;0
