st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10
2013-06-09 16:40:00;2013-06-09 22:47:00;367;29.6;131.9;100.8;2013-06-09 16:41:00;2013-06-09 18:54:00;133;24.4;145.3;73.8;2013-06-09 16:40:00;2013-06-09 18:48:00;128;34.9;194.2;135.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-06-10 13:57:00;2013-06-10 19:45:00;348;4.6;6.2;3;2013-06-10 14:22:00;2013-06-10 17:39:00;197;4.5;6;3;2013-06-10 13:57:00;2013-06-10 17:42:00;225;4.6;6.4;3.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-06-14 06:31:00;2013-06-14 09:35:00;184;1.4;6.2;2.7;2013-06-14 06:34:00;2013-06-14 08:27:00;113;1.4;6;3;2013-06-14 06:31:00;2013-06-14 08:38:00;127;1.5;6.4;2.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-06-21 02:05:00;2013-06-21 03:57:00;112;3.2;16.5;10.7;2013-06-21 02:06:00;2013-06-21 02:30:00;24;3.3;19;10.5;2013-06-21 02:05:00;2013-06-21 02:29:00;24;3.9;25.1;14.2;2013-06-21 02:08:00;2013-06-21 02:33:00;25;2.5;12.9;7.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-06-23 01:10:00;2013-06-23 01:25:00;15;0.5;10.6;2.9;2013-06-23 01:18:00;2013-06-23 01:21:00;3;0.1;5.9;0.6;NA;NA;NA;NA;NA;NA;2013-06-23 01:10:00;2013-06-23 01:16:00;6;1.4;31.9;8.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-06-24 13:09:00;2013-06-25 22:25:00;1996;53.4;8.1;5.9;2013-06-24 13:21:00;2013-06-25 21:25:00;1924;54.4;12.2;6.6;2013-06-24 13:48:00;2013-06-25 21:01:00;1873;54;6.4;6.1;2013-06-24 13:09:00;2013-06-25 21:01:00;1912;51.7;12.1;6.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-06-26 05:10:00;2013-06-26 09:35:00;265;1.1;4.2;0.8;2013-06-26 05:10:00;2013-06-26 09:09:00;239;1.3;5.9;1.2;2013-06-26 05:23:00;2013-06-26 08:40:00;197;1.2;6.4;0.6;2013-06-26 05:14:00;2013-06-26 08:15:00;181;0.8;6.1;0.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-06-29 22:15:00;2013-06-30 01:19:00;184;0.8;4.2;1.2;2013-06-29 22:52:00;2013-06-30 00:13:00;81;0.8;5.9;1.2;2013-06-29 22:15:00;2013-06-30 00:17:00;122;1.1;6.4;2.5;2013-06-29 23:14:00;2013-06-30 00:17:00;63;0.5;6.1;1.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-07-03 07:24:00;2013-07-03 10:27:00;183;1.4;4.1;2.3;2013-07-03 07:27:00;2013-07-03 09:16:00;109;2;12.4;3.6;2013-07-03 07:24:00;2013-07-03 09:16:00;112;1.2;6.4;1.9;2013-07-03 07:36:00;2013-07-03 09:12:00;96;1;6.1;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-07-03 16:47:00;2013-07-03 18:43:00;116;9;88.3;44;2013-07-03 17:00:00;2013-07-03 17:29:00;29;14.5;117.4;74.1;2013-07-03 17:27:00;2013-07-03 17:30:00;3;0.1;6.4;0.6;2013-07-03 17:11:00;2013-07-03 17:30:00;19;12.5;147.7;73.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-07-03 23:38:00;2013-07-04 01:01:00;83;0.9;6.2;2.7;2013-07-03 23:38:00;2013-07-04 01:00:00;82;0.8;5.9;1.8;2013-07-03 23:39:00;2013-07-04 00:55:00;76;0.7;6.4;1.9;2013-07-03 23:40:00;2013-07-04 01:01:00;81;1.2;12.2;4.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-07-24 21:41:00;2013-07-25 02:30:00;289;4.1;12.2;5.2;NA;NA;NA;NA;NA;NA;2013-07-24 21:41:00;2013-07-25 02:30:00;289;4.2;18.3;6.1;2013-07-24 22:05:00;2013-07-25 02:27:00;262;4.1;6.1;4.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-07-29 18:21:00;2013-07-29 23:43:00;322;37.8;143.9;127.1;NA;NA;NA;NA;NA;NA;2013-07-29 18:21:00;2013-07-29 22:27:00;246;36;140.5;120.7;2013-07-29 18:23:00;2013-07-29 23:01:00;278;39.6;168.1;139;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-07-30 00:29:00;2013-07-30 04:29:00;240;2;6.2;2.8;NA;NA;NA;NA;NA;NA;2013-07-30 00:29:00;2013-07-30 03:28:00;179;2.4;6.4;3.1;2013-07-30 01:12:00;2013-07-30 03:17:00;125;1.6;6.1;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
