st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10
2013-06-09 16:40:00;2013-06-09 22:47:00;367;29.6;131.9;100.8;2013-06-09 16:41:00;2013-06-09 18:54:00;133;24.4;145.3;73.8;2013-06-09 16:40:00;2013-06-09 18:48:00;128;34.9;194.2;135.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-06-10 13:57:00;2013-06-10 19:45:00;348;4.6;6.2;3;2013-06-10 14:22:00;2013-06-10 17:39:00;197;4.5;6;3;2013-06-10 13:57:00;2013-06-10 17:42:00;225;4.6;6.4;3.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-06-21 02:05:00;2013-06-21 03:57:00;112;3.2;16.5;10.7;2013-06-21 02:06:00;2013-06-21 02:30:00;24;3.3;19;10.5;2013-06-21 02:05:00;2013-06-21 02:29:00;24;3.9;25.1;14.2;2013-06-21 02:08:00;2013-06-21 02:33:00;25;2.5;12.9;7.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-06-24 13:09:00;2013-06-25 22:25:00;1996;53.4;8.1;5.9;2013-06-24 13:21:00;2013-06-25 21:25:00;1924;54.4;12.2;6.6;2013-06-24 13:48:00;2013-06-25 21:01:00;1873;54;6.4;6.1;2013-06-24 13:09:00;2013-06-25 21:01:00;1912;51.7;12.1;6.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-07-03 16:47:00;2013-07-03 18:43:00;116;9;88.3;44;2013-07-03 17:00:00;2013-07-03 17:29:00;29;14.5;117.4;74.1;2013-07-03 17:27:00;2013-07-03 17:30:00;3;0.1;6.4;0.6;2013-07-03 17:11:00;2013-07-03 17:30:00;19;12.5;147.7;73.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-07-24 21:41:00;2013-07-25 02:30:00;289;4.1;12.2;5.2;NA;NA;NA;NA;NA;NA;2013-07-24 21:41:00;2013-07-25 02:30:00;289;4.2;18.3;6.1;2013-07-24 22:05:00;2013-07-25 02:27:00;262;4.1;6.1;4.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-07-29 18:21:00;2013-07-29 23:43:00;322;37.8;143.9;127.1;NA;NA;NA;NA;NA;NA;2013-07-29 18:21:00;2013-07-29 22:27:00;246;36;140.5;120.7;2013-07-29 18:23:00;2013-07-29 23:01:00;278;39.6;168.1;139;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-07-30 00:29:00;2013-07-30 04:29:00;240;2;6.2;2.8;NA;NA;NA;NA;NA;NA;2013-07-30 00:29:00;2013-07-30 03:28:00;179;2.4;6.4;3.1;2013-07-30 01:12:00;2013-07-30 03:17:00;125;1.6;6.1;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-08-04 03:02:00;2013-08-04 07:43:00;281;20.1;61.4;45.6;NA;NA;NA;NA;NA;NA;2013-08-04 03:02:00;2013-08-04 05:47:00;165;21.9;64.3;51.1;2013-08-04 03:04:00;2013-08-04 05:56:00;172;18.4;58.6;40.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-08-04 16:57:00;2013-08-04 20:47:00;230;7.3;15.5;11.4;NA;NA;NA;NA;NA;NA;2013-08-04 16:57:00;2013-08-04 19:09:00;132;7.9;25;14.2;2013-08-04 16:59:00;2013-08-04 18:58:00;119;6.7;12.2;9.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-08-06 22:26:00;2013-08-07 04:13:00;347;9.1;15.8;11.9;NA;NA;NA;NA;NA;NA;2013-08-06 22:26:00;2013-08-07 02:27:00;241;8.2;12.5;7.3;2013-08-06 22:30:00;2013-08-07 02:29:00;239;10.1;25.6;20.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-08-09 13:38:00;2013-08-09 19:59:00;381;9.3;36.1;13.8;2013-08-09 13:38:00;2013-08-09 19:44:00;366;9.9;50.6;17.6;2013-08-09 13:38:00;2013-08-09 18:56:00;318;9.3;50.8;12.5;2013-08-09 13:38:00;2013-08-09 19:54:00;376;8.6;38.9;11.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-08-10 19:40:00;2013-08-10 22:23:00;163;4;10.1;6.1;2013-08-10 19:40:00;2013-08-10 20:49:00;69;3.3;6.1;4.8;2013-08-10 19:42:00;2013-08-10 20:53:00;71;4.5;12.4;7.9;2013-08-10 19:43:00;2013-08-10 21:05:00;82;4.3;12.2;7.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-08-19 13:41:00;2013-08-19 17:35:00;234;7.2;29.7;9.8;2013-08-19 13:43:00;2013-08-19 16:20:00;157;8.1;57.7;14.4;2013-08-19 13:41:00;2013-08-19 16:27:00;166;6.9;24.7;11.1;2013-08-19 13:43:00;2013-08-19 16:19:00;156;6.6;25.4;9.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
