"ord";"id";"st";"en";"Vtot";"Qmax";"TQmax";"Vtot.1";"Qmax.1";"TQmax.1";"Vtot.2";"Qmax.2";"TQmax.2"
1;2013-06-09 16:40:00;2013-06-09 16:40:00;2013-06-09 22:46:00;10745.2932;3.82795;2013-06-09 17:08:00;5651.5404;1.39048;2013-06-09 17:00:00;5398.7448;3.09132;2013-06-09 17:08:00
2;2013-06-10 13:57:00;2013-06-10 13:58:00;2013-06-10 19:44:00;1557.438;0.36975;2013-06-10 16:32:00;614.5344;0.13553;2013-06-10 16:22:00;674.7108;0.11573;2013-06-10 16:24:00
3;2013-06-14 06:31:00;2013-06-14 06:32:00;2013-06-14 09:34:00;350.4996;0.07213;2013-06-14 07:44:00;139.4616;0.05177;2013-06-14 07:26:00;176.76;0.03131;2013-06-14 07:32:00
4;2013-06-21 02:05:00;2013-06-21 02:06:00;2013-06-21 03:56:00;1043.1324;0.74831;2013-06-21 02:40:00;494.6292;0.36904;2013-06-21 02:26:00;394.0824;0.26407;2013-06-21 02:30:00
5;2013-06-23 01:10:00;2013-06-23 01:10:00;2013-06-23 01:24:00;17.8008;0.04963;2013-06-23 01:20:00;0.894;0.00101;2013-06-23 01:10:00;9.1968;0.0147;2013-06-23 01:24:00
6;2013-06-24 13:09:00;2013-06-24 13:10:00;2013-06-25 22:24:00;20152.0452;0.59445;2013-06-25 03:20:00;10177.2228;0.30691;2013-06-25 03:14:00;8235.6564;0.23208;2013-06-25 03:14:00
7;2013-06-26 05:10:00;2013-06-26 05:10:00;2013-06-26 09:34:00;398.6424;0.04336;2013-06-26 07:18:00;70.2564;0.02574;2013-06-26 06:36:00;190.422;0.01607;2013-06-26 07:12:00
8;2013-06-29 22:15:00;2013-06-29 22:16:00;2013-06-30 01:18:00;161.8896;0.03567;2013-06-30 00:50:00;31.3872;0.01571;2013-06-30 00:22:00;122.2392;0.01663;2013-06-30 00:32:00
9;2013-07-03 07:24:00;2013-07-03 07:24:00;2013-07-03 10:26:00;247.284;0.0872;2013-07-03 09:46:00;107.5212;0.05133;2013-07-03 09:20:00;152.5068;0.03627;2013-07-03 09:22:00
10;2013-07-03 16:47:00;2013-07-03 16:48:00;2013-07-03 18:42:00;1592.28;1.42102;2013-07-03 17:26:00;233.0136;0.30519;2013-07-03 17:20:00;860.9016;1.34488;2013-07-03 17:22:00
11;2013-07-03 23:38:00;2013-07-03 23:38:00;2013-07-04 01:00:00;56.076;0.04246;2013-07-04 00:44:00;21.4416;0.01834;2013-07-04 00:18:00;53.5836;0.01431;2013-07-04 00:18:00
12;2013-07-24 21:41:00;2013-07-24 21:42:00;2013-07-25 02:30:00;876.9444;0.291;2013-07-25 00:04:00;435.2532;0.15717;2013-07-25 00:18:00;414.7476;0.10493;2013-07-25 00:34:00
13;2013-07-29 18:21:00;2013-07-29 18:22:00;2013-07-29 23:42:00;319.3944;0.50927;2013-07-29 18:38:00;6401.7048;1.48107;2013-07-29 18:42:00;5033.0808;3.25329;2013-07-29 18:48:00
14;2013-07-30 00:29:00;2013-07-30 00:30:00;2013-07-30 04:28:00;352.8144;0.11457;2013-07-30 02:22:00;294.2628;0.09204;2013-07-30 02:16:00;287.8752;0.0652;2013-07-30 02:22:00
15;2013-08-04 03:02:00;2013-08-04 03:02:00;2013-08-04 07:42:00;344.4624;0.41048;2013-08-04 04:36:00;3912.1968;0.89386;2013-08-04 03:22:00;1197.3864;1.55038;2013-08-04 03:20:00
16;2013-08-04 16:57:00;2013-08-04 16:58:00;2013-08-04 20:46:00;1158.8292;0.64816;2013-08-04 17:48:00;1232.6016;0.34309;2013-08-04 17:36:00;880.2612;0.30888;2013-08-04 17:38:00
17;2013-08-06 22:26:00;2013-08-06 22:26:00;2013-08-07 04:12:00;1275.2808;0.43346;2013-08-06 22:58:00;1271.3544;0.23669;2013-08-07 02:12:00;1087.512;0.21979;2013-08-06 22:46:00
18;2013-08-09 13:38:00;2013-08-09 13:38:00;2013-08-09 19:58:00;1907.142;0.50443;2013-08-09 14:12:00;1270.0716;0.28725;2013-08-09 14:02:00;1207.9044;0.2901;2013-08-09 14:02:00
19;2013-08-10 19:40:00;2013-08-10 19:40:00;2013-08-10 22:22:00;733.374;0.42693;2013-08-10 20:56:00;582.7188;0.22758;2013-08-10 20:28:00;531.0072;0.15971;2013-08-10 20:34:00
20;2013-08-19 13:41:00;2013-08-19 13:42:00;2013-08-19 17:34:00;795.0996;0.42942;2013-08-19 14:24:00;886.7196;0.25445;2013-08-19 14:08:00;713.2008;0.18509;2013-08-19 14:10:00
21;2013-08-19 18:28:00;2013-08-19 18:28:00;2013-08-19 21:02:00;140.3952;0.07908;2013-08-19 19:24:00;217.6452;0.09571;2013-08-19 18:54:00;194.9424;0.05688;2013-08-19 19:00:00
22;2013-08-25 12:50:00;2013-08-25 12:50:00;2013-08-26 04:28:00;1147.4088;0.22443;2013-08-25 22:44:00;2630.9424;0.15723;2013-08-25 22:34:00;1949.8836;0.08592;2013-08-25 22:32:00
